NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
432;École doctorale Sciences des métiers de l'ingénieur;SMI;2012;2011-12;2011;115;92;63;25;0;4;23;11;1;3;3;5;0;0;nSsHB
485;École doctorale Éducation, Psychologie, Information et Communication;EPIC;2012;2011-12;2011;76;60;56;0;0;4;16;2;1;5;3;5;0;0;O82eL
503;École doctorale Sciences et technologies de l'information et de mathématiques;STIM;2012;2011-12;2011;81;55;43;11;0;1;26;4;2;12;3;5;0;0;JQevP
84;École doctorale Sciences et technologies de l'information et de la communication;STIC;2011;2010-11;2010;62;38;29;9;0;0;24;10;2;2;5;4;1;0;9wS2W
142;École doctorale Mathématiques de la région Paris-Sud;;2011;2010-11;2010;28;26;26;0;0;0;2;1;0;1;0;0;0;0;5XlH9
262;École doctorale Sciences juridiques, politiques, économiques et de gestion;DEG;2011;2010-11;2010;40;37;29;0;0;8;3;1;0;1;1;0;0;0;H7GyL
273;École doctorale Biologie et biotechnologie;B2T;2011;2010-11;2010;63;58;48;4;0;6;5;2;0;2;0;1;0;0;Wtta6
326;École doctorale Comportement, langage, éducation, socialisation, cognition;CLESCO;2011;2010-11;2010;75;71;54;2;0;15;4;3;0;1;0;0;0;0;nWIlG
389;École doctorale La physique, de la particule à la matière condensée;;2011;2010-11;2010;37;29;27;2;0;0;8;3;1;1;1;2;0;0;2ydfg
402;École doctorale Sciences de la vie et de la santé;SVS;2011;2010-11;2010;26;25;20;0;0;5;1;0;0;0;0;1;0;0;YKgsU
414;École doctorale Sciences de la vie et de la santé;;2011;2010-11;2010;130;98;89;5;0;4;32;11;5;11;2;3;0;0;YI4xS
456;École doctorale Sciences du sport, de la motricité et du mouvement humain;;2011;2010-11;2010;23;20;17;0;0;3;3;2;0;0;1;0;0;0;GqvEI
463;École doctorale Sciences du mouvement humain;SMH;2011;2010-11;2010;25;23;21;1;0;1;2;0;0;0;1;1;0;0;UbtlY
468;École doctorale Mécanique, énergétique, génie civil, procédés;MEGEP;2011;2010-11;2010;119;84;52;31;0;1;35;8;1;9;6;11;0;0;4XUTB
477;École doctorale Systèmes intégrés en biologie, agronomie, géosciences, hydrosciences, environnement;SIBAGHE;2011;2010-11;2010;109;86;72;7;0;7;23;7;1;5;7;3;0;0;zfN3N
535;École doctorale Sciences de la société;SDS;2011;2010-11;2010;34;27;23;1;0;3;7;2;0;3;1;1;0;0;iEUOV
539;École doctorale Sciences et technologies de Versailles;;2011;2010-11;2010;34;25;20;5;0;0;9;2;0;1;5;1;0;0;nv3h8
543;École doctorale de Dauphine;;2011;2010-11;2010;132;115;97;7;0;11;17;9;0;5;3;0;0;0;u8w6A
569;École doctorale Innovation thérapeutique : du fondamental à l'appliqué;;2023;2022-23;2022;61;56;45;11;0;0;5;1;0;3;1;0;0;0;jx8ET
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;2023;2022-23;2022;49;43;43;0;0;0;6;2;0;1;2;1;0;0;N85H3
652;École doctorale Biologie, Chimie, Santé;OMEGA-LIM;2023;2022-23;2022;21;20;20;0;0;0;1;0;0;0;1;0;0;0;wh5hf
171;École doctorale Toulouse sciences économiques;TSE;2022;2021-22;2021;12;12;12;0;0;0;0;0;0;0;0;0;0;0;Q5nNQ
481;École doctorale Sciences sociales et humanités;SSH;2022;2021-22;2021;45;38;36;0;0;2;7;2;0;2;1;2;0;0;E3z5j
20;École doctorale Civilisations, cultures, littératures et sociétés;;2014;2013-14;2013;55;42;38;0;0;4;13;9;1;0;0;3;0;0;agjNi
41;École doctorale Droit;;2014;2013-14;2013;62;49;44;0;0;5;13;0;1;2;8;2;0;0;KnOQK
85;École doctorale Sciences de la vie et de la santé;SVS;2014;2013-14;2013;52;36;33;2;0;1;16;7;1;4;1;3;0;0;YdiMF
168;École doctorale Sciences chimiques et biologiques pour la santé;SCBS;2014;2013-14;2013;105;67;28;2;0;37;38;7;2;22;5;1;1;0;8cEME
372;École doctorale Sciences économiques et de gestion;;2022;2021-22;2021;43;34;32;0;0;2;9;3;0;4;1;1;0;0;JK63A
468;École doctorale Mécanique, énergétique, génie civil, procédés;MEGEP;2022;2021-22;2021;123;107;55;51;0;1;16;6;0;6;3;1;0;0;4XUTB
576;École doctorale Particules, Hadrons, Énergie, Noyau, Instrumentation, Imagerie, Cosmos et Simulation;PHENIICS;2022;2021-22;2021;62;42;30;9;0;3;20;13;1;4;0;2;0;0;qC4rf
388;École doctorale Chimie physique et chimie analytique de Paris centre;CPCA;2014;2013-14;2013;73;53;46;7;0;0;20;7;1;5;4;3;0;0;M0Hnd
398;École doctorale Géosciences, ressources naturelles et environnement;GRNE;2014;2013-14;2013;46;32;22;10;0;0;14;5;0;2;4;3;0;0;Zi4Zf
422;École doctorale Sciences et technologies de l'information, des télécommunications et des systèmes;;2014;2013-14;2013;95;76;58;18;0;0;19;2;1;10;2;4;0;0;998UM
535;École doctorale Sciences de la société;SDS;2014;2013-14;2013;35;27;20;0;0;7;8;4;0;2;2;0;0;0;iEUOV
544;École doctorale Inter-Med : Espaces, temps, cultures;INTER-MED;2014;2013-14;2013;66;59;53;0;0;6;7;0;1;0;2;4;0;0;7VjtD
20;École doctorale Civilisations, cultures, littératures et sociétés;;2013;2012-13;2012;58;47;42;0;0;5;11;7;0;1;1;2;0;0;agjNi
567;École doctorale Sciences du Végétal : du gène à l'écosystème;;2021;2020-21;2020;31;24;19;5;0;0;7;1;1;3;0;2;0;0;tuDkA
583;École doctorale Risques et Société;;2021;2020-21;2020;11;10;9;0;0;1;1;0;0;0;1;0;0;0;wUBi9
587;École doctorale Diversites, santé et développement en Amazonie;;2021;2020-21;2020;17;15;12;2;0;1;2;1;0;0;1;0;0;0;V14tj
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;2021;2020-21;2020;67;60;58;2;0;0;7;3;0;1;3;0;0;0;N85H3
224;École doctorale Cognition, langage, interaction;;2013;2012-13;2012;59;47;39;1;0;7;12;6;0;2;3;1;0;0;7v43e
602;École doctorale Sciences pour l'Ingénieur;SPI;2021;2020-21;2020;116;83;46;35;0;2;33;6;1;17;6;3;0;0;8yWbu
615;École doctorale Sciences Biologiques et Santé;SBS;2021;2020-21;2020;39;35;30;1;0;4;4;0;0;3;1;0;0;0;TNa15
624;École doctorale Sciences des Sociétés;SDS;2021;2020-21;2020;56;44;43;0;0;1;12;2;1;4;2;3;0;0;cGIjW
628;École doctorale Arts Humanités et Sciences sociales;AHSS;2021;2020-21;2020;48;40;29;0;0;11;8;3;0;0;3;2;0;0;vwwRK
446;École doctorale Biologie - Santé;EDBSL;2013;2012-13;2012;101;87;84;0;0;3;14;8;1;4;1;0;0;0;4iEUF
74;École doctorale Sciences juridiques, politique et de gestion;SJPG;2020;2019-20;2019;66;57;54;0;0;3;9;3;1;0;3;2;0;0;3A2RY
79;École doctorale Sciences juridiques, politiques, économiques et de gestion;SJPEG;2020;2019-20;2019;41;31;30;0;0;1;10;2;2;3;3;0;0;0;ea4x6
85;École doctorale Sciences de la vie et de la santé;SVS;2020;2019-20;2019;49;38;37;1;0;0;11;6;0;5;0;0;0;0;YdiMF
