geo_unit,year,inbound_total,outbound_mobility_ratio,inbound_mobility_rate,outbound_total
ISL,2022,2102,12.25158023834229,9.606069564819336,2681
ISL,2023,2089,12.69167995452881,10.2972297668457,2575
ISR,2022,13181,4.612090110778809,3.199790000915527,18999
ISR,2023,13597,4.589970111846924,3.329339981079102,18745
ISR,2024,12650,NA,3.074280023574829,NA
ITA,2022,89946,4.027979850769043,4.191850185394287,86430
ITA,2023,106450,3.916500091552734,4.801080226898193,86837
JOR,2022,39225,8.72976016998291,10.76486085954224,31809
JOR,2023,38875,8.94478988647461,10.25703942924688,33901
JOR,2024,43075,NA,10.24137061992687,NA
JPN,2022,199298,0.8050000071525574,5.121140003204346,31328
JPN,2023,181821,0.8637400269508362,4.682059764862061,33542
KAZ,2024,30259,NA,4.127079963684082,NA
KGZ,2022,80701,5.958240032196045,28.54833346304327,16843
KGZ,2023,72853,5.728340148925781,25.59307803371754,16306
KGZ,2024,55827,NA,19.45428885055669,NA
KIR,2024,0,NA,0,NA
KOR,2022,123280,3.089600086212158,4.362460136413574,87310
KOR,2023,127624,3.247009992599487,4.620160102844238,89693
KOR,2024,143939,NA,5.273419857025146,NA
LBN,2022,40246,9.85774040222168,14.27649021148682,27789
LBN,2023,34178,11.29467010498047,12.87841033935547,29975
LCA,2022,82,33.48495864868164,3.702029943466187,742
LCA,2023,383,38.59743881225586,19.22690963745117,769
LKA,2022,1623,NA,0.4259741895860727,31219
LKA,2023,1773,11.63012981414795,0.4949500025124366,41661
LTU,2022,9129,7.884119987487793,8.773500442504883,8204
LTU,2023,11009,6.85614013671875,10.69707012176514,7056
LTU,2024,11472,NA,11.38728046417236,NA
LUX,2022,3905.5,172.529541015625,50.48474884033203,13347
LUX,2023,4169.5,167.1776580810547,52.28213119506836,13332
LUX,2024,4304.5,NA,51.4646110534668,NA
LVA,2022,9810,6.467030048370361,12.6783504486084,5004
LVA,2023,10080,6.059340000152588,13.37438011169434,4567
LVA,2024,10425,NA,14.0846004486084,NA
MAC,2022,28263,5.25393009185791,64.15826750204305,2314
MAC,2023,34160,4.438439846038818,68.87929991531233,2201
MAC,2024,40336,NA,72.53241265217312,NA
MAR,2022,23584,5.478209972381592,1.744829101595012,74046
MAR,2023,25252,5.349549770355225,1.796694344240717,75186
MAR,2024,27064,NA,1.879917034699001,NA
MCO,2022,910,45.10594940185547,82.95350646972656,495
MCO,2023,990,40.77404022216797,85.34483337402344,473
MCO,2024,1131,NA,86.7331314086914,NA
MDA,2022,5716,23.86475944519043,6.954617350042584,19614
MDA,2023,5536,23.88331031799316,6.985136396901102,18928
MDA,2024,5669,NA,7.127141977093575,NA
MDG,2022,986,3.001669883728027,0.5518708196904822,5363
MDG,2023,816,3.232219934463501,0.3430793878325393,6133
MEX,2023,72888,0.7425900101661682,1.403689980506897,38560
MHL,2022,48,22.57851982116699,2.981369972229004,364
MKD,2022,4707,10.12693977355957,8.390080451965332,5681
MKD,2023,6178,9.61678981781006,10.59074020385742,5610
MLT,2022,4531.10009765625,5.940599918365479,23.80353927612305,1131
MLT,2023,6242.2001953125,5.029829978942871,29.55573081970215,1062
MNG,2022,1547,10.64468955993652,1.064935601340979,15856
MNG,2023,3593,11.94386005401611,2.47204926210052,17350
MNG,2024,4558,NA,3.032964693043744,NA
MUS,2022,3020,14.46154975891113,7.05212030637026,6193
MUS,2023,2781,NA,6.651359690033723,6695
MUS,2024,3075,NA,7.047579757975797,NA
MYS,2022,100437,4.129720211029053,8.970392533380968,46238
MYS,2023,109036,4.141039848327637,9.597166513954866,47047
MYS,2024,128907,NA,12.46861036266857,NA
NAM,2022,2132,5.249529838562012,3.139657317890304,3565
NIC,2023,3263,2.207259893417358,1.708760023117065,4215
NOR,2022,13279,4.754740238189697,4.144269943237305,15235
NOR,2023,14141,4.604559898376465,4.513949871063232,14425
NOR,2024,13274,NA,4.204969882965088,NA
NZL,2022,25389.5078125,1.859150052070618,10.38455963134766,4545
NZL,2023,36407.01953125,1.901919960975647,14.88599014282227,4652
NZL,2024,44170.81640625,NA,17.5729808807373,NA
OMN,2023,3149,13.78219985961914,2.669073833922411,16260
OMN,2024,3545,NA,2.689579302757862,NA
PAN,2022,6103,2.676559925079346,2.985724489496394,5471
PHL,2024,25735,NA,0.5006410968465739,NA
POL,2022,91751,1.818689942359924,6.718039989471436,24839
POL,2023,89677,1.684820055961609,6.615200042724609,22840
POL,2024,95120,NA,6.80633020401001,NA
PRT,2022,49916,4.27810001373291,11.9640998840332,17849
PRT,2023,56775,3.866519927978516,13.25881004333496,16557
PSE,2022,0,14.0204496383667,0,31660
PSE,2023,0,14.19151020050049,0,31786
QAT,2022,17017,14.75452041625977,38.51742870076958,6519
QAT,2023,18762,13.04804992675781,40.53756238791781,6039
QAT,2024,20735,NA,41.7211613915773,NA
ROU,2022,34772,5.699120044708252,6.276450157165527,31574
ROU,2023,36216,5.278530120849609,6.722599983215332,28437
RUS,2022,340326,NA,NA,63761
RUS,2023,336453,0.9311100244522096,4.79095983505249,65389
RWA,2022,4347,7.208529949188232,4.534596246727101,6910
RWA,2023,7944,6.058700084686279,6.635704500651542,7253
RWA,2024,8122,NA,6.224995018164538,NA
SAU,2022,64874,2.791359901428223,4.126787029698058,43881
SAU,2024,114886,NA,5.714987827433095,NA
SEN,2022,16216,6.890460014343262,6.015818605410379,18574
SEN,2023,25658,6.813499927520752,8.966030562360004,19498
SEN,2024,83758,NA,29.92244129509819,NA
SGP,2022,66308,NA,NA,19702
SGP,2023,71239,NA,NA,20488
SLV,2022,839,2.554680109024048,0.4165301401010793,5146
SLV,2023,938,2.540479898452759,0.4676018704074816,5096
SMR,2022,824,53.13404083251953,85.56593977154725,512
SMR,2023,774,58.26977920532227,83.85698699951172,538
SMR,2024,900,NA,87.12487899322362,NA
SRB,2022,11247,5.974370002746582,4.610330104827881,14575
SRB,2023,11419,5.783090114593506,4.595019817352295,14371
SRB,2024,11573,NA,4.633500099182129,NA
SVK,2022,16696,21.59832954406738,11.9056396484375,30289
SVK,2023,21262,21.22817039489746,15.22041034698486,29654
SVK,2024,21947,NA,15.55212020874023,NA
SVN,2022,7729,3.71589994430542,9.45847988128662,3036
SVN,2023,8499,3.601569890975952,10.62547969818115,2881
SWE,2022,33910.2265625,2.947979927062988,7.004079818725586,14273
SWE,2023,34661.390625,2.96205997467041,7.284430027008057,14094
SWE,2024,35779.22265625,NA,7.238420009613037,NA
SYC,2022,0,54.34061813354492,0,572
SYC,2023,0,71.395416259765625,0,740
SYC,2024,0,NA,0,NA
TCA,2022,183,38.65118026733398,41.30926132202148,171
THA,2022,27113,1.463039994239807,1.352769952770551,29323
THA,2023,29928,1.575770020484924,1.444581419887225,32646
THA,2024,40886,NA,2.025742175926339,NA
