indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,AUS,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AUT,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AZE,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,BDI,2009,Source,Data sources,UIS Education Survey
